Player,Url,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 8,Week 18,Week 19,Week 20
Arik Armstead,ArmsAr01,sfo,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Ray-Ray Armstrong,ArmsRa01,sfo,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Blake Bell,BellBl00,sfo,,,,,,,,,,,,,,,IR,IR,,,,
Nick Bellore,BellNi01,sfo,,,,,,,,,,,,,,,IR,IR,,,,
NaVorro Bowman,BowmNa99,sfo,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Ahmad Brooks,BrooAh21,sfo,,,,,,Q,,,,,,,,,,,,,,
DeForest Buckner,BuckDe00,sfo,,,,,O,Q,,,,,,,,,,,,,,
Garrett Celek,CeleGa00,sfo,,,,Q,,,,,,,,,,,,,,,,
Marcus Cromartie,CromMa01,sfo,,Q,Q,,,,,,,,,,,,,,,,,
Anthony Davis,DaviAn27,sfo,,O,O,,,,,,,,,,,,,,,,,
Chris Davis,DaviCh05,sfo,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Quinton Dial,DialQu00,sfo,,,,,,,,,,,Q,,Q,,,,,,,
Glenn Dorsey,DorsGl99,sfo,,,,,Q,Q,,,,,,,,,,,,,,
Bruce Ellington,ElliBr00,sfo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Jeremy Kerley,KerlJe00,sfo,,,,,Q,,,,,,,,,,,,,,,
Daniel Kilgore,KilgDa00,sfo,,,,,,,,,,,,,,IR,IR,IR,,,,
Thaddeus Lewis,LewiTh01,sfo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Aaron Lynch,LyncAa00,sfo,,,,,,,,,,,Q,Q,Q,,,,,,,
Marcus Martin,MartMa01,sfo,,,,,,,,,,,,,,,IR,IR,,,,
Vance McDonald,McDoVa00,sfo,,,,Q,Q,,,,,,,,,IR,IR,IR,,,,
Quinton Patton,PattQu00,sfo,,,,,,,,,,,,Q,,,IR,IR,,,,
Keith Reaser,ReasKe00,sfo,,Q,,,,,,,,,,,,,,,,,,
